,title,label,processed_title
0,재학생 영어진단평가 신청 및 일정 안내 ,0,재학생 영어 진단 평가 신청 일정 안내
1,울산대학교     년도  학기 국내교환대학 학점교류 수학 안내 만료,0,울산대학교 국내 교환 대학 학점 교류 수학 안내
2,    학년도 여름계절제 학부 강의정보 공유를 위한 설문 실시 안내 만료,0,여름 계절제 학부 강의 정보 공유 설문 실시 안내
3,울산과학기술원     학년도  학기 국내대학 학점교류 수학 안내 만료 ,0,울산과학기술원 국내 대학 학점 교류 수학 안내
4,한국과학기술원     학년도  학기 국내교환 학점교류 수학 안내 만료 ,0,한국 과학기술원 국내 교환 학점 교류 수학 안내
5,한국예술종합학교     년도  학기 국내대학 학점교류 수학 안내 만료 ,0,한국예술종합학교 국내 대학 학점 교류 수학 안내
6,고려대학교     년도  학기 국내교환학생 학점교류 수학 안내 만료 ,0,고려대학교 국내 교환 학생 학점 교류 수학 안내
7,    학년도  학기 학부 강의정보 공유 설문 결과 조회 안내 만료 ,0,학부 강의 정보 공유 설문 결과 조회 안내
8,한국외국어대학교     년도  학기 국내대학 학점교류 수학 안내 만료,0,한국외국어대학교 국내 대학 학점 교류 수학 안내
9,성신여자대학교     학년도  학기 국내대학 학점교류 수학 안내 만료,0,성신여자대학교 국내 대학 학점 교류 수학 안내
10,     학년도  학기 국내대학 학점교류 수학 안내 만료,0,국내 대학 학점 교류 수학 안내
11,     학년도  학기 국내대학 교류수학 안내 만료,0,국내 대학 교류 수학 안내
12,중앙대학교     학년도  학기 국내대학 학점교류 수학 안내 만료,0,중앙대학교 국내 대학 학점 교류 수학 안내
13,    학년도  학기 대학 원  신 편 입생 학생증 발급 일정,0,대학 원 신 편 입 학생증 발급 일정
14,      학기 재학생 등록 안내 registration guideline for current students  만료,0,재학생 등록 안내 registration guideline current student
15,학사경고자 학사지도 안내,0,학사 경고자 학사 지도 안내
16,대학교     년도  학기 국내대학 학점교류 수학 안내 만료,0,대학교 국내 대학 학점 교류 수학 안내
17,전주대학교     년도  학기 국내대학 학점교류 수학 안내 만료,0,전주대학교 국내 대학 학점 교류 수학 안내
18,계명대학교     학년도  학기 국내대학 학점교류 수학 안내 만료,0,계명대학교 국내 대학 학점 교류 수학 안내
19,    년  월 졸업 수료 심사 결과 조회 안내 notification of august      graduation   completion approval status ,0,졸업 수료 심사 결과 조회 안내 notification august graduation completion approval status
